Date,Country,Event
28-02-2020,Egypt,"Canada reported two positive cases in Ontario. One of them had travel history to Iran, while the other had visited Egypt."
28-02-2020,Iran,"Canada reported two positive cases in Ontario. One of them had travel history to Iran, while the other had visited Egypt."
28-02-2020,China,"China confirmed an additional 327 new confirmed cases, of which 318 were in the province of Hubei. There were 44 deaths of which 41 were in Hubei, one in Xinjiang and two in Beijing."
28-02-2020,Croatia,"Croatia confirmed two new cases, one being the girlfriend of the first patient and the other the wife of the third patient, bringing the total number to 5."
28-02-2020,Denmark,"Denmark confirmed an additional case, bringing the total number to 2."
28-02-2020,Finland,"Finland confirmed an additional case, taking it to 3 confirmed cases."
28-02-2020,France,"France announced two new cases, bringing the total number to 40."
28-02-2020,Georgia,"Georgia confirmed a second case, a citizen who had returned from Italy. More than 18 people were reported to be in quarantine."
28-02-2020,Italy,"Georgia confirmed a second case, a citizen who had returned from Italy. More than 18 people were reported to be in quarantine."
28-02-2020,Germany,"Germany reported cases totalling ""almost 60"", according to a Health Ministry official."
28-02-2020,Greece,"Greece confirmed an additional case, who had recently travelled to Italy. This was the country's fourth case."
28-02-2020,Italy,"Greece confirmed an additional case, who had recently travelled to Italy. This was the country's fourth case."
28-02-2020,Hong Kong,"Hong Kong confirmed an additional case, a patient from Diamond Princess, bringing the total number to 94."
28-02-2020,Iceland,"Iceland confirmed its first case, a person who had returned from Italy."
28-02-2020,Italy,"Iceland confirmed its first case, a person who had returned from Italy."
28-02-2020,Iran,"Iran confirmed 143 new cases and 6 more deaths, with a total of 388 cases and 32 deaths."
28-02-2020,Iran,"Iraq confirmed an eighth case, a woman who recently came back from Iran."
28-02-2020,Iraq,"Iraq confirmed an eighth case, a woman who recently came back from Iran."
28-02-2020,Israel,"Israel confirmed an additional case, the second in the country - the wife of the previous person diagnosed."
28-02-2020,Italy,"Italy reported that four more people had died, bringing the death toll to 21. The number of confirmed cases had risen from 650 (the day before) to 888."
28-02-2020,Japan,"Japan announced an additional death, bringing the total to 5."
28-02-2020,Kuwait,"Kuwait announced two additional cases, taking its total to 45."
28-02-2020,Lebanon,"Lebanon confirmed its fourth case, a Syrian man, the first case of local transmission."
28-02-2020,Italy,"Lithuania confirmed its first case, a woman who returned from Italy."
28-02-2020,Lithuania,"Lithuania confirmed its first case, a woman who returned from Italy."
28-02-2020,Malaysia,"Malaysia confirmed two more cases, bringing the total number to 25."
28-02-2020,Mexico,"Mexico confirmed its first two cases, one in Mexico City and one in Culiacán."
28-02-2020,Monaco,Monaco saw the government confirm the first case in the principality.
28-02-2020,Iran,"New Zealand confirmed its first case, an individual who had returned from Iran to Auckland earlier in the week."
28-02-2020,New Zealand,"New Zealand confirmed its first case, an individual who had returned from Iran to Auckland earlier in the week."
28-02-2020,Netherlands,The Netherlands confirmed its second case.
28-02-2020,Italy,"Norway confirmed two other cases, with the second having serious implications. First it was confirmed that a person from Bergen, who returned from Italy, tested positive. Later it was confirmed that a person working at Ullevaal Hospital in Oslo also tested positive, after having returned from Italy. According to standard recommendation he was told to go to work, since he had no symptoms, and he had worked with a significant number of patients for a couple of days before testing positive. Norway now has 6 confirmed cases."
28-02-2020,Norway,"Norway confirmed two other cases, with the second having serious implications. First it was confirmed that a person from Bergen, who returned from Italy, tested positive. Later it was confirmed that a person working at Ullevaal Hospital in Oslo also tested positive, after having returned from Italy. According to standard recommendation he was told to go to work, since he had no symptoms, and he had worked with a significant number of patients for a couple of days before testing positive. Norway now has 6 confirmed cases."
28-02-2020,Italy,"Romania confirmed two new cases, both having recently returned from Italy."
28-02-2020,Romania,"Romania confirmed two new cases, both having recently returned from Italy."
28-02-2020,Singapore,"Singapore confirmed two more cases, bringing the total number to 98."
28-02-2020,Spain,"Spain confirmed more cases, taking it to 32 cases with 5 in Madrid, 8 in Comunidad Valenciana, 6 in the Canary Islands, 6 in Catalonia, 1 in the Balearic Islands, 6 in Andalucía, 1 in Aragón and 2 in Castilla y León."
28-02-2020,Sweden,"Sweden confirmed four more cases, raising the country's total to 11."
28-02-2020,Switzerland,Switzerland's cases increased to 15.
28-02-2020,Taiwan,"Taiwan confirmed two additional cases, taking its total to 34."
28-02-2020,Thailand,"Thailand confirmed an additional case, taking the overall number to 41."
28-02-2020,Iran,"The United Kingdom reported its 17th and 18th cases, in people who had travelled from Iran, and its 19th case and the first in Wales, being someone who had travelled from Northern Italy."
28-02-2020,Italy,"The United Kingdom reported its 17th and 18th cases, in people who had travelled from Iran, and its 19th case and the first in Wales, being someone who had travelled from Northern Italy."
28-02-2020,United Kingdom,"The United Kingdom reported its 17th and 18th cases, in people who had travelled from Iran, and its 19th case and the first in Wales, being someone who had travelled from Northern Italy."
28-02-2020,United States,"The United States confirmed 4 more cases, including 2 former passengers of Diamond Princess."
29-02-2020,Australia,"Australia confirmed one more case, bringing the total number to 25."
29-02-2020,Austria,"Austria confirmed four new cases, bringing the total to 10."
29-02-2020,Azerbaijan,"Azerbaijan reported two new cases, both recently returned from Iran."
29-02-2020,Iran,"Azerbaijan reported two new cases, both recently returned from Iran."
29-02-2020,Bahrain,"Bahrain confirmed three additional cases, all who had travelled to Iran, bringing the total number to 41."
29-02-2020,Iran,"Bahrain confirmed three additional cases, all who had travelled to Iran, bringing the total number to 41."
29-02-2020,Brazil,"Brazil confirmed the second case, a 32-year-old man who arrived from Milan, Italy."
29-02-2020,Italy,"Brazil confirmed the second case, a 32-year-old man who arrived from Milan, Italy."
29-02-2020,Canada,"Canada confirmed four new cases, three in Ontario and one in British Columbia, bringing the total to 20."
29-02-2020,China,"China confirmed 427 new cases - 423 of which were in Hubei province - bringing the total number to 79,251. Deaths increased by 47, to a total of 2,835."
29-02-2020,Croatia,"Croatia confirmed its sixth case, a close relative of the third and fifth patients."
29-02-2020,Denmark,"Denmark confirmed its third case, a person recently returned from a trip to Munich, Germany, where he came into contact with someone who was later determined to have the virus."
29-02-2020,Germany,"Denmark confirmed its third case, a person recently returned from a trip to Munich, Germany, where he came into contact with someone who was later determined to have the virus."
29-02-2020,Ecuador,"Ecuador confirmed its first case, a woman who recently returned from a trip to Spain."
29-02-2020,Spain,"Ecuador confirmed its first case, a woman who recently returned from a trip to Spain."
29-02-2020,France,"France confirmed 16 additional cases, bringing the total number to 73."
29-02-2020,Georgia,"Georgia confirmed one new case, taking the total number to 3."
29-02-2020,Germany,Germany's confirmed cases increased to 66.
29-02-2020,Greece,"Greece confirmed three new cases, two of which were close contacts of a previous confirmed case, the other had travelled to Italy."
29-02-2020,Italy,"Greece confirmed three new cases, two of which were close contacts of a previous confirmed case, the other had travelled to Italy."
29-02-2020,Iran,"Iran confirmed 205 new cases, and 9 new deaths, bringing the total to 593 infected and 43 dead."
29-02-2020,Iraq,"Iraq confirmed 5 new cases, bringing the total number to 13. Four of them are in Baghdad and the fifth is in Babil province."
29-02-2020,Ireland,"Ireland confirmed its first case, associated with travel to northern Italy."
29-02-2020,Italy,"Ireland confirmed its first case, associated with travel to northern Italy."
29-02-2020,Italy,"Italy confirmed 239 new cases and 8 new deaths, bringing it to 1,128 cases and 29 deaths."
29-02-2020,Lebanon,"Lebanon confirmed three more cases, bringing the total number of cases to seven."
29-02-2020,Luxembourg,Luxembourg confirmed its first case.
29-02-2020,Italy,"Mexico confirmed two more cases, one man in the State of Mexico who participated in the same trip to Bergamo, Italy, that the first two infected made,"
29-02-2020,Mexico,"Mexico confirmed two more cases, one man in the State of Mexico who participated in the same trip to Bergamo, Italy, that the first two infected made,"
29-02-2020,Netherlands,"The Netherlands confirmed four additional cases, bringing the total to 6."
29-02-2020,Norway,"Norway confirmed nine new cases, bringing the total to 15."
29-02-2020,Iran,"Pakistan confirmed two mores cases, bringing its total to 4. One is a person from Karachi who had recently traveled to Iran, and the other case was in the Federal Area."
29-02-2020,Pakistan,"Pakistan confirmed two mores cases, bringing its total to 4. One is a person from Karachi who had recently traveled to Iran, and the other case was in the Federal Area."
29-02-2020,Iran,"Qatar confirmed its first case, a Qatari national who had recently returned from Iran."
29-02-2020,Qatar,"Qatar confirmed its first case, a Qatari national who had recently returned from Iran."
29-02-2020,Singapore,"Singapore confirmed four more cases, bringing the total number to 102."
29-02-2020,Spain,"Spain confirmed 26 more cases, bringing the total number to 58."
29-02-2020,Sweden,"Sweden reported two new cases, taking the total to 13."
29-02-2020,Switzerland,"Switzerland confirmed 3 more cases, bringing the total number to 18."
29-02-2020,Taiwan,"Taiwan confirmed five more cases, bringing the total number to 39."
29-02-2020,Thailand,"Thailand confirmed one more case, bringing the total number to 42."
29-02-2020,United Kingdom,"The United Kingdom confirmed three additional cases, taking the total to 23."
29-02-2020,United States,"The United States confirmed its first death, a man from Washington near the Seattle area."
01-03-2020,Armenia,"Armenia confirmed its first case, a 29-year-old man returning from Iran."
01-03-2020,Iran,"Armenia confirmed its first case, a 29-year-old man returning from Iran."
01-03-2020,Australia,"Australia confirmed the first death in the country, a 78-year-old man from the cruise ship Diamond Princess."
01-03-2020,Austria,"Austria confirmed four more cases, bringing the total number to 14."
01-03-2020,Bahrain,"Bahrain confirmed six more cases, bringing the total number to 47."
01-03-2020,Canada,"Canada confirmed four new cases in Ontario, bringing the total number to 24. All four had travel history to Iran or Egypt."
01-03-2020,Egypt,"Canada confirmed four new cases in Ontario, bringing the total number to 24. All four had travel history to Iran or Egypt."
01-03-2020,Iran,"Canada confirmed four new cases in Ontario, bringing the total number to 24. All four had travel history to Iran or Egypt."
01-03-2020,China,"China confirmed 573 new cases; 570 of which were in Hubei province, bringing the total number to 79,824. Deaths increased by 35 to a total of 2,870."
01-03-2020,Czech Republic,"Czech Republic confirmed the first three cases in the country, individuals that had travelled from Northern Italy."
01-03-2020,Italy,"Czech Republic confirmed the first three cases in the country, individuals that had travelled from Northern Italy."
01-03-2020,Dominica,"Dominican Republic confirmed its first case, a 62-year-old Italian tourist."
01-03-2020,Dominican Republic,"Dominican Republic confirmed its first case, a 62-year-old Italian tourist."
01-03-2020,Ecuador,"Ecuador confirmed five more cases, bringing the total to six."
01-03-2020,Egypt,"Egypt confirmed one more case, bringing the total number to 2."
01-03-2020,Finland,"Finland confirmed two more cases related to woman diagnosed on 27 February, bringing the total number to 6."
01-03-2020,France,"France confirmed 30 more cases, bringing the total number to 130."
01-03-2020,Germany,"Germany confirmed 63 more cases, bringing the total number to 129."
01-03-2020,Hong Kong,"Hong Kong confirmed three more cases, bringing the total number to 98."
01-03-2020,Iran,"Iran confirmed 385 new cases with 11 more deaths, bringing the total number to 978 and 54 respectively."
01-03-2020,Iraq,"Iraq confirmed six more cases, bringing the total number to 19."
01-03-2020,Israel,"Israel confirmed three more cases, bringing the total number to 10."
01-03-2020,Italy,"Italy confirmed 566 new cases and five deaths, bringing the total number to 1,694 and 34 respectively."
01-03-2020,Japan,"Japan confirmed another death from the coronavirus, bringing the total to 6."
01-03-2020,Malaysia,"Malaysia confirmed four more cases, bringing the total number to 29."
01-03-2020,Mexico,"Mexico confirmed one additional case, bringing the total number to 5."
01-03-2020,Netherlands,"The Netherlands confirmed three more cases, bringing the total number to 10."
01-03-2020,San Marino,"San Marino confirmed seven more cases, bringing the total number to 8. The first death was also confirmed."
01-03-2020,Singapore,"Singapore confirmed four more cases, bringing the total number to 106."
01-03-2020,Spain,"Spain confirmed 26 more cases, bringing the total number to 84."
01-03-2020,Sweden,"Sweden confirmed one more case, bringing the total number to 14."
01-03-2020,Thailand,"Thailand confirmed its first death from the coronavirus, a 35-year-old retail worker who also had dengue fever."
01-03-2020,United Kingdom,"The United Kingdom confirmed an additional thirteen cases of the virus, including one person from Essex who had not travelled to any country previously affected by the virus, bringing the total in the country to 35."
01-03-2020,United States,"The United States reported the second confirmed death in Washington state. The first cases in Rhode Island, Florida, and New York were confirmed. The authorities confirmed 21 more cases in total, bringing the number to 89."
02-03-2020,Andorra,Andorra confirmed its first case.
02-03-2020,Australia,"Australia confirmed four new cases, bringing the total number to 30, including its first human-to-human transmission."
02-03-2020,Bahrain,"Bahrain confirmed two more cases, bringing the total number to 49."
02-03-2020,Canada,"Canada confirmed three more cases, all in Ontario, bringing the total number to 27."
02-03-2020,China,"China confirmed 202 new cases, bringing the total number to 80,026. Deaths increased by 42 to a total of 2,912."
02-03-2020,France,"France confirmed 61 more cases, bringing the total number to 191. The third death was also reported."
02-03-2020,Germany,"Germany confirmed 21 more cases, bringing the total number to 150."
02-03-2020,India,"India reported its first cases since the initial outbreak. One case was detected in New Delhi, while the other was from Telangana. Another confirmed case was later detected in Jaipur, bringing the total number to 6."
02-03-2020,Indonesia,Indonesian president Joko Widodo announced the first two confirmed cases in the country.
02-03-2020,Iran,"Iran's total cases rose to 1,501 with 66 deaths."
02-03-2020,Iraq,"Iraq confirmed two more cases, bringing the total number to 21."
02-03-2020,Ireland,"Ireland Tourism authorities announced that one of the largest annual events, the 2020 Dublin St Patricks Day Parade, was cancelled."
02-03-2020,Israel,"Israel confirmed two more cases, bringing the total number to 12."
02-03-2020,Italy,"Italy confirmed 342 new cases and 18 deaths, bringing the total number to 2,064 and 52, respectively."
02-03-2020,Jordan,Jordan confirmed its first case.
02-03-2020,Kuwait,"Kuwait confirmed ten more cases, bringing the total number to 56."
02-03-2020,Latvia,"Latvia confirmed its first case, a woman who had flown from Milan to Riga through Munich."
02-03-2020,Morocco,Morocco confirmed its first case.
02-03-2020,Netherlands,"The Netherlands confirmed eight new cases, bringing the total number to 18."
02-03-2020,Italy,"Portugal confirmed its first two cases, one of whom had returned from Italy, the other from Spain."
02-03-2020,Portugal,"Portugal confirmed its first two cases, one of whom had returned from Italy, the other from Spain."
02-03-2020,Spain,"Portugal confirmed its first two cases, one of whom had returned from Italy, the other from Spain."
02-03-2020,Qatar,"Qatar confirmed four new cases, taking their total to 7."
02-03-2020,Bahrain,Saudi Arabia confirmed their first case in a citizen who had travelled to Iran and returned to Saudi Arabia via Bahrain.
02-03-2020,Iran,Saudi Arabia confirmed their first case in a citizen who had travelled to Iran and returned to Saudi Arabia via Bahrain.
02-03-2020,Saudi Arabia,Saudi Arabia confirmed their first case in a citizen who had travelled to Iran and returned to Saudi Arabia via Bahrain.
02-03-2020,France,"Senegal confirmed its first case, where the person had recently travelled from France."
02-03-2020,Senegal,"Senegal confirmed its first case, where the person had recently travelled from France."
02-03-2020,Singapore,"Singapore confirmed two more cases, bringing the total number to 108."
02-03-2020,Spain,"Spain confirmed 36 more cases, bringing the total number to 120."
02-03-2020,Sweden,"Sweden confirmed one more case, bringing the total number to 15."
02-03-2020,Taiwan,"Taiwan confirmed one additional case, bringing the total to 41 cases."
02-03-2020,Thailand,"Thailand confirmed one more case, bringing the total number to 43."
02-03-2020,Tunisia,Tunisia confirmed its first case.
02-03-2020,United Kingdom,"The United Kingdom confirmed three additional cases, taking the total to 39. An original fourth diagnosis of positive of a person was confirmed later as negative."
02-03-2020,United States,"The United States confirmed 13 more cases, bringing the total number to 102. Five more deaths were also confirmed, bringing the total number to 6."
03-03-2020,Argentina,"Argentina confirmed its first case, a person who had recently returned from Italy."
03-03-2020,Italy,"Argentina confirmed its first case, a person who had recently returned from Italy."
03-03-2020,Australia,"Australia confirmed eight more cases, bringing the total number to 38."
03-03-2020,Canada,"Canada confirmed six more cases, two in Ontario and four in British Columbia, bringing the total to 33."
03-03-2020,Chile,Chile confirmed its first case.
03-03-2020,China,"China confirmed 125 new cases, the lowest number of new cases since January, bringing the total number to 80,151. 31 new deaths were also confirmed, bringing the total to 2,943."
03-03-2020,Ecuador,"Ecuador confirmed three more cases, bringing the total number to 10."
03-03-2020,France,"France confirmed 21 more cases, bringing the total number to 212. The fourth death was also reported."
03-03-2020,Germany,"Germany confirmed 38 more cases, bringing the total number to 188."
03-03-2020,Gibraltar,"Gibraltar confirmed its first case, a person who had travelled back from Northern Italy via Malaga airport."
03-03-2020,Italy,"Gibraltar confirmed its first case, a person who had travelled back from Northern Italy via Malaga airport."
03-03-2020,Iran,Iran confirmed that 23 MPs were diagnosed with the virus.
03-03-2020,Ireland,"Ireland confirmed one more case, bringing the total number to 2."
03-03-2020,Italy,"Italy confirmed 466 new cases and 28 deaths, bringing the total number to 2,502 and 80, respectively."
03-03-2020,Liechtenstein,Liechtenstein confirmed its first case.
03-03-2020,Malaysia,"Malaysia confirmed seven more cases, bringing the total number to 36."
03-03-2020,San Marino,"San Marino confirmed two new cases, bringing the total number to 10."
03-03-2020,Singapore,"Singapore confirmed two more cases, bringing the total number to 110."
03-03-2020,Spain,"Spain confirmed the first death in the country, a person who died on 13 February, making him the earliest recorded death in Europe."
03-03-2020,Sweden,"Sweden confirmed 15 more cases, bringing the total number to 30."
03-03-2020,Italy,"Ukraine confirmed its first case, a person having travelled from Italy via Romania."
03-03-2020,Romania,"Ukraine confirmed its first case, a person having travelled from Italy via Romania."
03-03-2020,Ukraine,"Ukraine confirmed its first case, a person having travelled from Italy via Romania."
03-03-2020,United Kingdom,"The United Kingdom confirmed 12 new cases, bringing the total number to 51."
03-03-2020,United States,"The United States confirmed three more deaths, bringing the total to 9."
04-03-2020,Brazil,"Brazil confirmed two more cases, bringing the total number to 4."
04-03-2020,Canada,"Canada confirmed one more case in British Columbia, bringing the total number to 34."
04-03-2020,China,"China confirmed 119 new cases, bringing the total number to 80,270. 38 new deaths were also confirmed, bringing the total to 2,981."
04-03-2020,Faroe Islands,Faroe Islands confirmed its first case.
04-03-2020,France,"France confirmed 73 more cases, bringing the total number to 285."
04-03-2020,Germany,"Germany confirmed 52 more cases, bringing the total number to 240."
04-03-2020,Hong Kong,Hong Kong confirmed a case of human-to-animal transmission involving a pet dog.
04-03-2020,Hungary,"Hungary confirmed its first cases, two Iranian students who were asymptomatic."
04-03-2020,Iran,"Hungary confirmed its first cases, two Iranian students who were asymptomatic."
04-03-2020,India,"India confirmed 23 more cases, including 15 Italian tourists, bringing the total number to 29."
04-03-2020,Iraq,Iraq confirmed its first death from the coronavirus.
04-03-2020,Italy,"Italy confirmed 28 more deaths, bringing the total to 107. This made it the highest jump in a single day. The country confirmed 587 new cases, bringing the total number to 3,089."
04-03-2020,Japan,"Cases in Japan had topped the 1,000 mark (including 706 cases on the cruise ship Diamond Princess which the World Health Organization classifies as being located ""on an international conveyance"" and not in Japan) with the first confirmed case in Yamaguchi prefecture."
04-03-2020,Malaysia,"Malaysia confirmed 14 more cases, bringing the total number to 50."
04-03-2020,Italy,New Zealand confirmed its second case of the coronavirus. The infected individual had returned the previous week from Italy with her family on an Air New Zealand flight from Singapore to Auckland.
04-03-2020,New Zealand,New Zealand confirmed its second case of the coronavirus. The infected individual had returned the previous week from Italy with her family on an Air New Zealand flight from Singapore to Auckland.
04-03-2020,Singapore,New Zealand confirmed its second case of the coronavirus. The infected individual had returned the previous week from Italy with her family on an Air New Zealand flight from Singapore to Auckland.
04-03-2020,Poland,Poland confirmed its first case.
04-03-2020,San Marino,"San Marino confirmed five more cases, bringing the total number to 15."
04-03-2020,Singapore,"Singapore confirmed two more cases, bringing the total number to 112."
04-03-2020,Italy,"Slovenia confirmed its first case, a person who had travelled through Italy."
04-03-2020,Slovenia,"Slovenia confirmed its first case, a person who had travelled through Italy."
04-03-2020,Sweden,"Sweden confirmed 22 more cases, bringing the total number to 52."
04-03-2020,Ireland,"The United Kingdom confirmed 34 new cases, then Northern Ireland confirmed an additional two, bringing the total number to 87."
04-03-2020,United Kingdom,"The United Kingdom confirmed 34 new cases, then Northern Ireland confirmed an additional two, bringing the total number to 87."
04-03-2020,United States,"The United States confirmed 11 total deaths, with the first death outside of Washington state in California. California's total of infections has jumped to 51."
05-03-2020,Algeria,"Algeria confirmed nine additional cases, bringing the total number to 17."
05-03-2020,Belgium,"Belgium confirmed 27 new cases, bringing the total number to 50."
05-03-2020,Brazil,"Brazil confirmed three new cases, bringing the total to 8."
05-03-2020,Canada,"Canada confirmed 11 new cases in Ontario, and the first one in Alberta, bringing the total to 45."
05-03-2020,China,"China confirmed 139 new cases, bringing the total number to 80,409. 31 new deaths were also confirmed (all in Hubei), bringing the total to 3,012."
05-03-2020,Ecuador,"Ecuador confirmed three more cases, bringing the total number to 13."
05-03-2020,Egypt,"Egypt confirmed the first case in an Egyptian national, who had recently travelled from Serbia via France."
05-03-2020,France,"Egypt confirmed the first case in an Egyptian national, who had recently travelled from Serbia via France."
05-03-2020,France,"France registered 92 new confirmed cases, taking the total number of cases to 377. It also saw deaths rise from 4 to 6."
05-03-2020,Georgia,"Georgia confirmed five new cases, all of whom had recently returned from Italy."
05-03-2020,Italy,"Georgia confirmed five new cases, all of whom had recently returned from Italy."
05-03-2020,Germany,"Germany confirmed 87 new cases, taking it to a total of 349."
05-03-2020,Greece,Greece confirmed its tenth case.
05-03-2020,India,"India confirmed one more case, bringing the total number to 30."
05-03-2020,Iran,"Iran saw its largest daily increase in cases, with 591 new cases, taking it to a total of 3,513 confirmed cases. It also saw 15 new deaths, increasing its total to 107."
05-03-2020,Ireland,"Ireland confirmed six new cases, bringing the total number to 13."
05-03-2020,Israel,"Israel confirmed two new cases, bringing the total to 17. And of these was a bus driver from East Jerusalem who drove a group of Greek tourists in Israel and the West Bank, the other having recently returned from Italy."
05-03-2020,Italy,"Israel confirmed two new cases, bringing the total to 17. And of these was a bus driver from East Jerusalem who drove a group of Greek tourists in Israel and the West Bank, the other having recently returned from Italy."
05-03-2020,Italy,"Italy reported 769 new cases and 41 new deaths, bringing the total number to 3,850 and 148 respectively."
05-03-2020,Martinique,Martinique confirmed its first two cases.
05-03-2020,Netherlands,"The Netherlands confirmed 44 new cases, bringing the total number to 82."
05-03-2020,Iran,"New Zealand confirmed its third case, an Auckland man who had contracted the virus after family members had returned from a trip to Iran. Relatives of the man at two Auckland schools, Auckland Grammar School and Ormiston Junior College, had also been placed into isolation."
05-03-2020,New Zealand,"New Zealand confirmed its third case, an Auckland man who had contracted the virus after family members had returned from a trip to Iran. Relatives of the man at two Auckland schools, Auckland Grammar School and Ormiston Junior College, had also been placed into isolation."
05-03-2020,Norway,"Norway confirmed six new cases, bringing the total number to 66."
05-03-2020,Pakistan,"Pakistan confirmed a sixth case, a 69-year-old man in Karachi."
05-03-2020,Greece,Palestine reported its first cases in the West Bank city of Bethlehem. Seven staff at a hotel were reported to be infected by visiting tourists from Greece.
05-03-2020,Saudi Arabia,"Saudi Arabia confirmed three additional cases, bringing the total number to 5."
05-03-2020,Singapore,"Singapore confirmed five more cases, bringing the total number to 117."
05-03-2020,South Africa,South Africa records its first case in the KwaZulu-Natal province.
05-03-2020,Spain,Spain had confirmed that the total number of cases had risen to 234.
05-03-2020,Sweden,"Sweden confirmed 42 more cases, bringing the total number to 94."
05-03-2020,Switzerland,Switzerland reported its first death from the virus.
05-03-2020,United Kingdom,"The United Kingdom's total increased to 90. The UK also later confirmed the total number of cases had increased further up to 116, as well as recording the first death in the country, an older person with underlying health conditions."
06-03-2020,Austria,"Austria announced 13 new cases, taking its total to 55."
06-03-2020,Belgium,"Belgium confirmed 59 new cases, bringing the total to 109."
06-03-2020,United States,"Bhutan announced its first case, an American tourist who had recently also travelled to India after leaving the United States on 18 February."
06-03-2020,Bhutan,"Bhutan announced its first case, an American tourist who had recently also travelled to India after leaving the United States on 18 February."
06-03-2020,India,"Bhutan announced its first case, an American tourist who had recently also travelled to India after leaving the United States on 18 February."
06-03-2020,Brazil,"Brazil confirmed five new cases, bringing the total number to 13."
06-03-2020,Cameroon,"Cameroon confirmed its first case, a French citizen."
06-03-2020,Canada,"Canada confirmed four new cases in Ontario, bringing the total to 51 with 26 from Ontario. A husband and wife returned from the cruise ship Grand Princess in California and two men returned from Iran and Las Vegas."
06-03-2020,Iran,"Canada confirmed four new cases in Ontario, bringing the total to 51 with 26 from Ontario. A husband and wife returned from the cruise ship Grand Princess in California and two men returned from Iran and Las Vegas."
06-03-2020,China,"China confirmed 143 new cases, bringing the total number to 80,552. 30 new deaths were also confirmed, bringing the total to 3,042. Hubei had no cases as a result."
06-03-2020,Colombia,"Colombia confirmed its first case, a woman who recently travelled from Italy."
06-03-2020,Italy,"Colombia confirmed its first case, a woman who recently travelled from Italy."
06-03-2020,Costa Rica,Costa Rica has confirmed its first case involving an American from New York.
06-03-2020,Egypt,"Egypt confirmed 12 additional cases, bringing the total number to 15."
06-03-2020,France,"France confirmed 190 new cases and two additional deaths, bringing the total to 613 cases and 9 deaths."
06-03-2020,Germany,"Germany confirmed 185 new cases, taking it to a total of 534."
06-03-2020,Greece,Greece confirmed 14 additional cases.
06-03-2020,Iceland,"Iceland confirmed six additional cases, bringing the total to 43."
06-03-2020,India,"India confirmed one more case, bringing the total number to 31."
06-03-2020,Indonesia,"Indonesia confirmed two more cases, bringing the total number to four."
06-03-2020,Iran,"Iran confirmed 1,234 new cases and 16 new deaths, taking its totals up to 4,747 cases and 124 deaths. They also reported 913 people had recovered."
06-03-2020,Italy,Italy announced 778 new cases and 49 new deaths.
06-03-2020,Malaysia,"Malaysia confirmed 28 new cases,"
06-03-2020,Netherlands,"The Netherlands reported its first death, and 44 new cases, bringing it to a total of 128 cases."
06-03-2020,New Zealand,New Zealand confirmed its fourth case: a man who is the partner of the second case confirmed on 3 March.
06-03-2020,Macedonia,"North Macedonia confirmed two additional cases, taking its total to 3."
06-03-2020,Peru,Peru confirmed its first case.
06-03-2020,Germany,"Poland confirmed four additional cases (two people that travelled from Italy, one person who travelled from United Kingdom and one person who travelled from Germany with the first case confirmed day earlier), taking their total to 5."
06-03-2020,Italy,"Poland confirmed four additional cases (two people that travelled from Italy, one person who travelled from United Kingdom and one person who travelled from Germany with the first case confirmed day earlier), taking their total to 5."
06-03-2020,Poland,"Poland confirmed four additional cases (two people that travelled from Italy, one person who travelled from United Kingdom and one person who travelled from Germany with the first case confirmed day earlier), taking their total to 5."
06-03-2020,United Kingdom,"Poland confirmed four additional cases (two people that travelled from Italy, one person who travelled from United Kingdom and one person who travelled from Germany with the first case confirmed day earlier), taking their total to 5."
06-03-2020,Italy,"Portugal confirmed four additional cases (three in Porto and one in Lisbon), bringing the total to 13. All three cases in Porto had a connection with Italy."
06-03-2020,Portugal,"Portugal confirmed four additional cases (three in Porto and one in Lisbon), bringing the total to 13. All three cases in Porto had a connection with Italy."
06-03-2020,Qatar,"Qatar confirmed three new cases, taking it to a total of 11."
06-03-2020,Singapore,"Singapore confirmed 13 new cases, bringing the total number to 130. This was the largest increase of cases in a single day so far."
06-03-2020,Slovakia,Slovakia confirmed its first case.
06-03-2020,Spain,"Spain confirmed 104 additional cases, bringing the total number to 360."
06-03-2020,Sweden,"Sweden confirmed 43 additional cases, bringing the total number to 137."
06-03-2020,Switzerland,"Switzerland announced 123 additional cases, raising it to a total of 210 cases and one fatality."
06-03-2020,Togo,Togo confirmed its first case.
06-03-2020,United Kingdom,"In the United Kingdom, the total number of cases were confirmed as 163, a rise of 47 and the highest day-on-day increase."
06-03-2020,United States,"In the United States, the first three cases were confirmed in the state of Maryland."
07-03-2020,Afghanistan,"Afghanistan confirmed three additional cases, taking the total to 4."
07-03-2020,Argentina,"Argentina confirmed its first death, also the first in South America, a 64-year-old man who had travelled to Paris."
07-03-2020,Bahrain,"Bahrain confirmed 19 new cases, taking the total number to 79."
07-03-2020,Belgium,"Belgium confirmed 60 additional cases, bringing the total number to 169."
07-03-2020,Brazil,"Brazil confirmed six new cases of COVID-19, raising the total number to 19."
07-03-2020,Canada,"Canada confirmed six additional cases, taking the total to 57."
07-03-2020,Egypt,Egypt confirmed 33 new cases on a Nile cruise ship.
07-03-2020,France,France's total rose to 949 cases and 16 deaths.
07-03-2020,Germany,"Germany confirmed 45 new cases, taking it to a total of 684."
07-03-2020,Iran,"Iran confirmed 1,076 new cases and 21 additional deaths, taking it to a total of 5,823 infected and 145 dead. They also confirmed 16,000 cases were hospitalised as suspect cases and 1,669 cases had recovered."
